Title,MaxPlayers,Genre,ReviewScore,Sales,UsedPrice,Console,Rating,Year,PlayLength
AC/DC Live: Rock Band - Track Pack,4,Action / Simulation,63,0.19,14.95,X360,M,2008,3.933333333
AC/DC Live: Rock Band - Track Pack,1,Action / Simulation,60,0.19,14.95,PS3,E,2008,3.933333333
Ace Combat 6: Fires of Liberation,1,Action / Simulation,80,0.58,19.95,X360,E,2007,13.75
Ace Combat X: Skies of Deception,1,Action / Simulation,75,0.32,22.95,PSP,E,2006,4.116666667
Advance Wars: Days of Ruin,4,Strategy,86,0.43,17.95,DS,E,2008,22
Advance Wars: Dual Strike,1,Strategy,90,0.3,17.95,DS,T,2005,27.83333333
Afrika,1,Adventure / Simulation,63,0.1,47.95,PS3,T,2008,30.43333333
After Burner: Black Falcon,1,Action,73,0.01,19.95,PSP,M,2007,-1
Agatha Christie: And Then There Were None,1,Adventure,50,0.05,17.95,Wii,M,2008,7.5
Agatha Christie: Evil Under the Sun,1,Adventure,46,0.05,17.95,Wii,M,2008,7.616666667
Age of Empires: Mythologies,1,Strategy,78,0.17,17.95,DS,T,2008,16.6
Age of Empires: The Age of Kings,1,Strategy,80,0.19,17.95,DS,T,2006,50
Alex Rider: Stormbreaker,1,Action / Adventure,48,0.05,12.95,DS,M,2006,6.5
Alien Syndrome,1,Action,51,0.07,12.95,PSP,E,2007,3
Alien Syndrome,4,Action,48,0.06,12.95,Wii,E,2007,3
Aliens Vs Predator: Requiem,2,Action,49,0.03,17.95,PSP,T,2007,-1
All-Pro Football 2K8,4,Sports,75,0.24,7.95,X360,T,2007,12
All-Pro Football 2K8,6,Sports,73,0.14,9.95,PS3,T,2007,12
Alone in the Dark,1,Action / Adventure / Racing / Driving,58,0.12,14.95,X360,M,2008,6.116666667
Alone in the Dark,1,Action / Adventure / Racing / Driving,39,0.09,14.95,Wii,T,2008,6.116666667
Amped 3,1,Sports,72,0.13,14.95,X360,E,2005,9
Animal Crossing: City Folk,1,Simulation,73,1.78,29.95,Wii,T,2008,65
Animal Crossing: Wild World,1,Simulation,86,2.6,24.95,DS,T,2005,80.53333333
Anubis II,1,Action,19,0.04,9.95,Wii,M,2007,-1
Ape Escape Academy,4,Action / Sports,51,0.13,14.95,PSP,E,2004,1.883333333
Apollo Justice: Ace Attorney,1,Adventure / Simulation,78,0.24,24.95,DS,T,2008,19.93333333
Arkanoid DS,1,Strategy,61,0.03,16.95,DS,E,2007,-1
Armored Core 4,2,Action,65,0.09,19.95,PS3,E,2006,20
Armored Core 4,2,Action,65,0.19,17.95,X360,E,2007,20
Armored Core: For Answer,1,Action,62,0.05,29.95,PS3,M,2008,14.5
Armored Core: For Answer,1,Action,64,0.05,24.95,X360,T,2008,14.5
Armored Core: Formula Front - Extreme Battle,1,Action / Strategy,66,0.05,16.95,PSP,E,2004,-1
Army of Two,2,Action,72,1.12,16.95,X360,T,2008,6.75
Army of Two,2,Action,74,0.75,16.95,PS3,T,2008,6.75
Asphalt: Urban GT,1,Racing / Driving / Simulation,60,0.11,14.95,DS,E,2004,12.4
Assassin's Creed,1,Action,81,3.17,16.95,X360,T,2007,17
Assassin's Creed,1,Action,81,1.77,17.95,PS3,T,2007,17
Assassin's Creed: Altar's Chronicles,1,Action,58,0.03,11.95,DS,T,2008,4.866666667
Astonishia Story,1,Role-Playing (RPG) / Strategy,48,0.03,16.95,PSP,T,2006,19.15
ATV Offroad Fury: Blazin' Trails,4,Racing / Driving / Sports,63,0.56,12.95,PSP,T,2005,-1
ATV Quad Frenzy,1,Racing / Driving / Sports,35,0.11,14.95,DS,T,2005,-1
Avalon Code,1,Action / Adventure / Role-Playing (RPG),71,0.1,27.95,DS,M,2008,23.85
Avatar: The Last Airbender,1,Action,64,0.3,17.95,DS,E,2006,5
Avatar: The Last Airbender,1,Action,57,0.11,17.95,PSP,E,2006,5
B-Boy,1,Action,50,0.03,17.95,PSP,E,2006,-1
Baja: Edge of Control,4,Racing / Driving / Simulation / Sports,65,0.11,16.95,X360,T,2008,-1
Baja: Edge of Control,4,Racing / Driving / Simulation / Sports,61,0.09,17.95,PS3,M,2008,-1
Bangai-O Spirits,1,Action,83,0.05,14.95,DS,M,2008,10.5
Banjo-Kazooie: Nuts & Bolts,1,Action / Adventure / Racing / Driving / Sports,79,0.31,17.95,X360,E,2008,19.45
Barnyard,1,Action / Adventure,65,0.04,17.95,Wii,T,2007,-1
Baroque,1,Action / Role-Playing (RPG),50,0.04,19.95,Wii,T,2008,7.783333333
Battle Fantasia,2,Action / Role-Playing (RPG),71,0.05,22.95,X360,M,2008,1.05
Battle of the Bands,2,Action / Simulation,58,0.08,14.95,Wii,T,2008,-1
Battlefield 2: Modern Combat,4,Action,77,0.36,16.95,X360,E,2005,6.933333333
Battlefield: Bad Company,1,Action,83,0.83,16.95,X360,E,2008,7
Battlefield: Bad Company,1,Action,84,0.76,17.95,PS3,T,2008,7
Battles of Prince of Persia,1,Strategy,64,0.09,14.95,DS,E,2005,8
Battlestations: Midway,1,Action / Strategy,73,0.21,17.95,X360,T,2007,8.716666667
BattleZone,1,Action,57,0.03,14.95,PSP,E,2006,-1
Beautiful Katamari,1,Action,73,0.11,17.95,X360,M,2007,6
Bee Movie Game,1,Adventure,58,0.44,17.95,DS,E,2007,5.633333333
Bee Movie Game,2,Action,62,0.32,14.95,Wii,E,2007,5.633333333
Bee Movie Game,2,Action,71,0.15,12.95,X360,T,2007,5.633333333
